,geohash,longitude,latitude
1470,ezjq5cmn,-3.695354461669922,40.43766975402832
1484,ezjqh1ff,-3.687458038330078,40.43972969055176
1490,ezjqh14n,-3.688488006591797,40.436296463012695
1491,ezjqh18z,-3.690204620361328,40.4392147064209
1495,ezjqh14c,-3.687458038330078,40.43543815612793
1497,ezjqh1fy,-3.687458038330078,40.44041633605957
1500,ezjq5fnq,-3.6936378479003906,40.441789627075195
1503,ezjqh40e,-3.6905479431152344,40.441274642944336
1506,ezjqh106,-3.6908912658691406,40.43560981750488
1508,ezjqh1dg,-3.687458038330078,40.438528060913086
1514,ezjq5ctk,-3.6950111389160156,40.43869972229004
1516,ezjq5cru,-3.691577911376953,40.437326431274414
1527,ezjqh45d,-3.6864280700683594,40.44110298156738
1531,ezjqh1u6,-3.6853981018066406,40.43972969055176
1534,ezjqh0c5,-3.689861297607422,40.43440818786621
1556,ezjq5cvd,-3.6946678161621094,40.43972969055176
1558,ezjq5cqk,-3.6936378479003906,40.437326431274414
1571,ezjq5fj3,-3.6950111389160156,40.44093132019043
1572,ezjq5fnz,-3.692951202392578,40.44196128845215
1575,ezjqh1un,-3.685741424560547,40.44041633605957
1580,ezjqh0ft,-3.6878013610839844,40.43475151062012
1591,ezjqh0ep,-3.687114715576172,40.4337215423584
1606,ezjqh1f4,-3.688488006591797,40.43972969055176
1611,ezjq5bsy,-3.695697784423828,40.433549880981445
1613,ezjqh1d4,-3.688488006591797,40.43835639953613
1617,ezjq5crm,-3.6922645568847656,40.43749809265137
1619,ezjqh1de,-3.6878013610839844,40.438528060913086
1625,ezjq5c5k,-3.6977577209472656,40.43595314025879
1628,ezjqh1sk,-3.6853981018066406,40.43869972229004
1633,ezjqh412,-3.6895179748535156,40.44075965881348
1644,ezjqh4hq,-3.6853981018066406,40.441789627075195
1651,ezjqh1et,-3.6864280700683594,40.43887138366699
1653,ezjqh1f9,-3.6878013610839844,40.439558029174805
1654,ezjq5c77,-3.6977577209472656,40.43715476989746
1656,ezjqh454,-3.687114715576172,40.44110298156738
1657,ezjq5btt,-3.6946678161621094,40.43337821960449
1662,ezjq5cmf,-3.694324493408203,40.43698310852051
1663,ezjq5czk,-3.6922645568847656,40.440073013305664
1664,ezjq5cey,-3.697071075439453,40.439043045043945
1668,ezjqh16j,-3.688488006591797,40.43749809265137
1672,ezjqh41t,-3.6891746520996094,40.44161796569824
1684,ezjq5cwk,-3.6936378479003906,40.43869972229004
1686,ezjq5cjh,-3.695354461669922,40.43595314025879
1687,ezjqh0gj,-3.687114715576172,40.43475151062012
1689,ezjqh14r,-3.6881446838378906,40.43646812438965
1691,ezjqh0gb,-3.686084747314453,40.43389320373535
1692,ezjq5c7m,-3.6977577209472656,40.43749809265137
1696,ezjqh1fj,-3.688488006591797,40.44024467468262
1708,ezjqh0cm,-3.6895179748535156,40.43475151062012
1709,ezjqh44x,-3.6878013610839844,40.44196128845215
1710,ezjqh1cz,-3.688831329345703,40.44058799743652
1712,ezjq5cz6,-3.6922645568847656,40.43972969055176
1726,ezjqh1k4,-3.685741424560547,40.43698310852051
1729,ezjqh45r,-3.6867713928222656,40.44196128845215
1733,ezjq5cqm,-3.6936378479003906,40.43749809265137
1742,ezjqh1gq,-3.6867713928222656,40.44041633605957
1743,ezjqh1em,-3.6867713928222656,40.43887138366699
1744,ezjqh0fg,-3.687458038330078,40.43440818786621
1754,ezjqh0bb,-3.690204620361328,40.43389320373535
1758,ezjqh1cq,-3.6895179748535156,40.44041633605957
1761,ezjqh1u7,-3.6853981018066406,40.43990135192871
1762,ezjqh0bd,-3.6905479431152344,40.43423652648926
1763,ezjq5fh6,-3.6963844299316406,40.44110298156738
1768,ezjqh09p,-3.689861297607422,40.4337215423584
1769,ezjqh40d,-3.6905479431152344,40.44110298156738
1772,ezjq5fpn,-3.692607879638672,40.441789627075195
1782,ezjqh08z,-3.690204620361328,40.4337215423584
1784,ezjqh1f6,-3.6881446838378906,40.43972969055176
1785,ezjqh0fx,-3.6878013610839844,40.43509483337402
1787,ezjqh08t,-3.6905479431152344,40.43337821960449
1789,ezjqh1kh,-3.685741424560547,40.437326431274414
1791,ezjqh1dm,-3.6881446838378906,40.43887138366699
1793,ezjqh1fu,-3.687458038330078,40.440073013305664
1794,ezjq5chs,-3.6960411071777344,40.43595314025879
1798,ezjqh1sn,-3.685741424560547,40.439043045043945
1800,ezjqh0ey,-3.686084747314453,40.433549880981445
1801,ezjqh1f8,-3.6878013610839844,40.43938636779785
1803,ezjq5c7t,-3.6974143981933594,40.43749809265137
1806,ezjqh0g1,-3.687114715576172,40.434064865112305
1808,ezjqh41f,-3.688831329345703,40.44110298156738
1814,ezjqh19g,-3.688831329345703,40.438528060913086
1822,ezjqh0gp,-3.687114715576172,40.43509483337402
1825,ezjq5bem,-3.6977577209472656,40.43337821960449
1827,ezjqh09n,-3.689861297607422,40.433549880981445
1832,ezjq5cvh,-3.695354461669922,40.440073013305664
1837,ezjq5c7r,-3.6977577209472656,40.43784141540527
1842,ezjqh1g4,-3.687114715576172,40.43972969055176
1851,ezjqh16b,-3.687458038330078,40.4366397857666
1852,ezjq5bgv,-3.697071075439453,40.43475151062012
1859,ezjq5bgk,-3.6977577209472656,40.434579849243164
1863,ezjqh0fv,-3.687458038330078,40.43475151062012
1865,ezjq5bge,-3.6974143981933594,40.43440818786621
1873,ezjqh10e,-3.6905479431152344,40.435781478881836
1876,ezjq5cre,-3.6919212341308594,40.43715476989746
1880,ezjq5bgd,-3.6974143981933594,40.43423652648926
1883,ezjq5cwn,-3.693981170654297,40.439043045043945
