"gps_geohash_08","gps_ghash_lon","gps_ghash_lat","mean_dbm","events"
"ezjq5f5s","-3.6974144","40.441444","-97.28676111382511","2048"
"ezjq5fhw","-3.696041","40.441788","-92.0053974484789","2047"
"ezjqh16z","-3.687458","40.437843","-92.02806499261447","2036"
"ezjqh18k","-3.6908913","40.438698","-81.23046488625124","2026"
"ezjq5fjc","-3.6943245","40.440933","-89.7205153617443","2018"
"ezjq5csf","-3.6956978","40.438354","-85.0762331838565","2017"
"ezjq5bup","-3.6967278","40.435097","-78.93373193821624","2012"
"ezjqh1kp","-3.6857414","40.437843","-82.58170914542728","2005"
"ezjq5bvp","-3.6953545","40.435097","-83.9165409753645","1997"
"ezjq5cgx","-3.6974144","40.44059","-90.53187149413564","1968"
"ezjqh16r","-3.6881447","40.437843","-87.6870852475753","1966"
"ezjqh0gx","-3.686428","40.435097","-80.2508978963571","1957"
"ezjq5bux","-3.696041","40.435097","-81.18839835728953","1952"
"ezjq5cs3","-3.6963844","40.438187","-80.18120456905504","1929"
"ezjqh12r","-3.6908913","40.437843","-78.8421327757449","1916"
"ezjqh0bp","-3.6912346","40.435097","-79.1716378859236","1913"
"ezjq5bzp","-3.6926079","40.435097","-94.83191940615059","1893"
"ezjq5f5y","-3.697071","40.441788","-101.43436499466382","1885"
"ezjq5bvx","-3.6946678","40.435097","-85.86886993603412","1879"
"ezjq5csc","-3.6956978","40.438187","-85.28044871794872","1877"
"ezjq5cke","-3.696041","40.437157","-103.19337606837607","1874"
"ezjq5f5t","-3.6974144","40.44162","-94.60288615713522","1873"
"ezjqh19b","-3.6888313","40.43801","-82.85306781485468","1865"
"ezjq5byr","-3.6936378","40.435097","-86.43110871905274","1862"
"ezjqh0up","-3.6857414","40.435097","-96.81469475958941","1855"
"ezjqh188","-3.690548","40.43801","-77.90447266703478","1817"
"ezjqh12w","-3.690548","40.437668","-77.50165562913908","1815"
"ezjq5fjm","-3.6950111","40.44162","-71.56983240223464","1801"
"ezjq5cpn","-3.6926079","40.436295","-109.34475014037058","1781"
"ezjq5c5w","-3.6974144","40.436295","-103.74324324324324","1776"
"ezjq5bvz","-3.6943245","40.435097","-87.57515598411798","1769"
"ezjqh17w","-3.686428","40.437668","-85.44727891156462","1766"
"ezjq5bgz","-3.697071","40.435097","-79.15019988577956","1759"
"ezjq5fnk","-3.6936378","40.441444","-83.16112385321101","1758"
"ezjq5ch3","-3.6963844","40.43544","-90.38100686498856","1751"
"ezjq5fh9","-3.696041","40.440933","-103.45244956772335","1738"
"ezjq5ch6","-3.6963844","40.435608","-94.29838709677419","1738"
"ezjq5cut","-3.696041","40.440247","-101.8242074927954","1735"
"ezjqh146","-3.6881447","40.435608","-79.92616279069767","1728"
"ezjqh0b6","-3.6908913","40.434235","-96.21802325581395","1720"
"ezjq5ctd","-3.6946678","40.438354","-90.8558926487748","1718"
"ezjq5cwb","-3.6929512","40.43801","-85.12169312169313","1711"
"ezjq5byp","-3.6939812","40.435097","-86.78894767783656","1703"
"ezjqh110","-3.6898613","40.435265","-95.00296559905101","1694"
"ezjq5ck3","-3.6963844","40.436813","-90.15443786982249","1691"
"ezjqh12u","-3.6902046","40.437325","-73.74025194961008","1672"
"ezjq5fpt","-3.6919212","40.44162","-77.23483483483483","1670"
"ezjq5ct4","-3.6953545","40.438354","-85.0006013229104","1670"
"ezjq5bzr","-3.6922646","40.435097","-96.13213213213213","1669"
"ezjq5cp8","-3.6919212","40.435265","-91.2214199759326","1668"
"ezjq5cus","-3.696041","40.44007","-101.99038461538461","1664"
"ezjq5fhq","-3.6963844","40.441788","-97.12772397094432","1662"
"ezjqh15e","-3.686428","40.435783","-84.11980734497291","1661"
"ezjq5fpb","-3.691578","40.440758","-84.37599024984766","1643"
"ezjq5bzz","-3.691578","40.435097","-85.60611620795108","1638"
"ezjq5cnc","-3.6929512","40.43544","-101.71681957186544","1636"
"ezjqh100","-3.6912346","40.435265","-77.67261538461538","1635"
